user_id,signup_date,city,age_band,employment_type,credit_limit,kyc_status,txn_count,avg_amount,night_txn_ratio,total_spend,default_count,avg_delay
1,2025-10-22,Bangalore,25-34,salaried,5000,full,16,1424.6875,0.1875,22795,0,0.0
2,2025-09-15,Mumbai,18-24,self_employed,10000,partial,33,1900.090909090909,0.30303030303030304,62703,2,0.0
3,2025-11-11,Bangalore,18-24,salaried,10000,full,26,1915.2692307692307,0.23076923076923078,49797,1,0.0
4,2025-10-31,Hyderabad,25-34,self_employed,10000,full,14,2031.642857142857,0.35714285714285715,28443,1,0.0
5,2025-09-21,Mumbai,25-34,student,20000,full,26,1842.7692307692307,0.3076923076923077,47912,2,0.0
6,2025-11-22,Mumbai,18-24,student,20000,partial,33,2774.4242424242425,0.2727272727272727,91556,2,8.0
7,2025-11-26,Hyderabad,25-34,salaried,20000,full,14,1484.4285714285713,0.35714285714285715,20782,1,0.0
8,2025-11-14,Delhi,18-24,salaried,30000,partial,31,2072.1290322580644,0.3225806451612903,64236,1,4.0
9,2025-11-14,Pune,25-34,self_employed,5000,full,26,1891.0384615384614,0.2692307692307692,49167,1,0.0
10,2025-11-27,Mumbai,25-34,self_employed,20000,full,17,1578.5294117647059,0.23529411764705882,26835,1,0.0
11,2025-09-24,Bangalore,25-34,salaried,20000,full,21,1629.0,0.3333333333333333,34209,1,4.5
12,2025-09-03,Mumbai,18-24,student,10000,full,25,2552.92,0.32,63823,1,2.0
13,2025-09-22,Hyderabad,18-24,self_employed,20000,full,37,2240.108108108108,0.32432432432432434,82884,1,0.0
14,2025-10-23,Delhi,18-24,salaried,5000,full,17,1906.6470588235295,0.29411764705882354,32413,1,0.0
15,2025-09-02,Pune,18-24,student,20000,full,18,1877.1666666666667,0.6111111111111112,33789,1,4.0
16,2025-11-27,Pune,18-24,salaried,10000,full,16,2153.4375,0.3125,34455,0,5.0
17,2025-09-30,Bangalore,25-34,salaried,5000,full,31,1230.3225806451612,0.45161290322580644,38140,0,0.0
18,2025-10-08,Pune,35-44,salaried,10000,full,27,2227.074074074074,0.07407407407407407,60131,0,0.0
