user_id,signup_date,city,age_band,employment_type,credit_limit,kyc_status
1,2025-10-22,Bangalore,25-34,salaried,5000,full
2,2025-09-15,Mumbai,18-24,self_employed,10000,partial
3,2025-11-11,Bangalore,18-24,salaried,10000,full
4,2025-10-31,Hyderabad,25-34,self_employed,10000,full
5,2025-09-21,Mumbai,25-34,student,20000,full
6,2025-11-22,Mumbai,18-24,student,20000,partial
7,2025-11-26,Hyderabad,25-34,salaried,20000,full
8,2025-11-14,Delhi,18-24,salaried,30000,partial
9,2025-11-14,Pune,25-34,self_employed,5000,full
10,2025-11-27,Mumbai,25-34,self_employed,20000,full
11,2025-09-24,Bangalore,25-34,salaried,20000,full
12,2025-09-03,Mumbai,18-24,student,10000,full
13,2025-09-22,Hyderabad,18-24,self_employed,20000,full
14,2025-10-23,Delhi,18-24,salaried,5000,full
15,2025-09-02,Pune,18-24,student,20000,full
16,2025-11-27,Pune,18-24,salaried,10000,full
17,2025-09-30,Bangalore,25-34,salaried,5000,full
18,2025-10-08,Pune,35-44,salaried,10000,full
19,2025-09-02,Bangalore,35-44,salaried,10000,full
20,2025-11-03,Bangalore,35-44,student,5000,full
21,2025-10-30,Bangalore,25-34,self_employed,5000,full
22,2025-09-21,Pune,25-34,salaried,10000,full
23,2025-10-03,Mumbai,18-24,salaried,10000,full
24,2025-11-15,Bangalore,25-34,student,20000,full
25,2025-10-28,Delhi,25-34,salaried,30000,full
26,2025-09-22,Mumbai,25-34,student,10000,full
27,2025-11-28,Bangalore,25-34,student,20000,partial
28,2025-10-19,Pune,18-24,salaried,10000,full
29,2025-11-30,Hyderabad,18-24,student,20000,full
30,2025-10-29,Mumbai,35-44,salaried,5000,full
31,2025-10-12,Pune,18-24,student,10000,full
32,2025-12-01,Delhi,25-34,salaried,10000,full
33,2025-10-30,Pune,35-44,student,5000,full
34,2025-11-19,Mumbai,25-34,student,20000,full
35,2025-09-15,Mumbai,25-34,student,20000,full
36,2025-11-01,Bangalore,18-24,self_employed,10000,full
37,2025-11-01,Pune,18-24,self_employed,10000,full
38,2025-10-17,Delhi,35-44,student,20000,full
39,2025-11-01,Bangalore,25-34,salaried,20000,full
40,2025-10-21,Bangalore,25-34,salaried,5000,full
41,2025-10-25,Mumbai,18-24,self_employed,10000,full
42,2025-11-03,Mumbai,18-24,salaried,10000,full
43,2025-09-03,Hyderabad,35-44,salaried,10000,full
44,2025-10-21,Pune,18-24,student,5000,full
45,2025-09-07,Bangalore,25-34,salaried,10000,full
46,2025-09-21,Hyderabad,18-24,self_employed,20000,full
47,2025-11-12,Bangalore,25-34,salaried,10000,full
48,2025-10-09,Pune,35-44,student,30000,full
49,2025-09-18,Hyderabad,25-34,student,20000,full
50,2025-09-04,Mumbai,18-24,salaried,30000,full
51,2025-11-28,Hyderabad,25-34,salaried,5000,full
52,2025-10-30,Delhi,25-34,salaried,20000,full
